39F, Slight wind from rear NE at 55mph
108F, Slight chill from Mars NW at 05mph
45F, Large snow thunderstorm incomming from W at 45mph
-15F, Tropical Weather with cold front from NE at 10mph
30F, Very large hot front comming from S at 32mph
35F, Thunderstorms in SE approaching at 45mph
67F, Hurricane spotted SW with high wind \
at Class10 speeds at 67mph
23F, Virginia Tech weather from NE at 95mph
99F, Florida beach starts sandstorm with winds \
of 32mph
73F, Snow comming from NRV mountains at \
speeds of 32mph.
22F, Rain from watershed at 10mph.
69F, Hot weather from SW at 43mph\
